pid,label,description,year,medium,series_subject,image_size,frame_size,gallery_one,gallery_one_identifier,gallery_price,gallery_two,gallery_two_identifier,gallery_three,gallery_three_identifier,order,layout,collection,thumbnail,full,manifest
obj65,Untitled,"Two figures and a skeleton gaze towards each other. Between them are a star map, butterfly, and swan.",Unknown,Collage,Animals,13 x 17 1/2,23 x 27,,,,,,,,211,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj65/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj65/full/1140,/0/default.jpg",/img/derivatives/iiif/obj65/manifest.json
obj66,The Lonely Swan,A swan swims within a small pond.,2020,Collage,Animals,10 3/4 x 7 1/2,14 3/4 x 11 3/4,,,,,,,,212,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj66/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj66/full/1140,/0/default.jpg",/img/derivatives/iiif/obj66/manifest.json
obj67,Untitled,"Bison, depicted on stamps from the Wildlife Conservation, surround a shooting target and the letters 'TM' at center.",Unknown,Collage,Animals,9 7/8 x 7 5/8,15 x 12,,,,,,,,213,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj67/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj67/full/1140,/0/default.jpg",/img/derivatives/iiif/obj67/manifest.json
obj68,Untitled,A bison stands next to a shooting target.,Unknown,Collage,Animals,18 1/2 x 14,25 3/8 x 20,,,,,,,,214,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj68/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj68/full/1140,/0/default.jpg",/img/derivatives/iiif/obj68/manifest.json
obj69,Untitled,Two butterflies and watercolor discs.,1997,Water color,Animals,13 x 19 1/2,19 1/4 x 25,,,,,,,,215,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj69/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj69/full/1140,/0/default.jpg",/img/derivatives/iiif/obj69/manifest.json
obj7,Untitled,The hips and legs of a skeleton hang down from above.,Unknown,Collage,Anatomical,18 1/2 x 10 1/2,24 x 15 3/4,,,,,,,,216,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj7/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj7/full/1140,/0/default.jpg",/img/derivatives/iiif/obj7/manifest.json
obj70,Untitled,A mirrored image of a butterflies flying above a unravelling disks.,2005,Water color,Animals,13 3/4 x 17 1/2,18 1/2 x 24,,,,,,,,217,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj70/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj70/full/1140,/0/default.jpg",/img/derivatives/iiif/obj70/manifest.json
obj71,Half and Half,"Water color discs, butter flies, and a Half and Half tobacco company label mirror each other on sheet music.",,Water color,Animals,,,,,,,,,,218,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj71/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj71/full/1140,/0/default.jpg",/img/derivatives/iiif/obj71/manifest.json
obj72,Four corners,A butterfly flies toward a tree.,1985,Collage,Animals,10 1/2 x 10 1/2,23 3/4 x 20 3/4,,,,,,,,219,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj72/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj72/full/1140,/0/default.jpg",/img/derivatives/iiif/obj72/manifest.json
obj73,Part of Myth,"A butterfly flies above a matchbook around which a white disk dangles, suspended within a string.",1987,Assemblage,Animals,14 x 13,22 3/4 x 20 3/4,Cordier & Ekstrom,CE # 127,"$5,000.00 ",Korus Gallery,,,,220,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj73/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj73/full/1140,/0/default.jpg",/img/derivatives/iiif/obj73/manifest.json
obj74,Pluto,A pair of arms ties a red bow. Below that a pair of hands holds a string attached to a butterfly.,1985,Collage,Animals,17 x 12`,21 1/4 x 16 1/2,Lori Bookstein,LBFA-5801,,Berta Walker,,,,221,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj74/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj74/full/1140,/0/default.jpg",/img/derivatives/iiif/obj74/manifest.json
obj75,Nocturne,A large blue butterfly flies amongst a lily flower and trees.,2011,Collage,Animals,17 x 20 1/2,24 1/4 x 27 3/8,Berta Walker Gallery,,,,,,,222,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj75/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj75/full/1140,/0/default.jpg",/img/derivatives/iiif/obj75/manifest.json
obj76,Untitled,"Four butterflies, a parrot, a fish, and a man without head.",Unknown,Collage,Animals,8 x 5 1/4,21 x 17,,,,,,,,223,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj76/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj76/full/1140,/0/default.jpg",/img/derivatives/iiif/obj76/manifest.json
obj77,Untitled,A butterfly alongside a pair of wings made from a letter cut into the shape of two hearts.,Unknown,Collage,Animals,8 3/4 x 10 3/4,16 1/2 x 18 1/2,,,,,,,,224,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj77/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj77/full/1140,/0/default.jpg",/img/derivatives/iiif/obj77/manifest.json
obj78,Untitled,A butterfly flies amongst flowers next to a headless figure dressed in red holding a blade.,Unknown,Collage,Animals,14 1/2 x 9 1/2,21 1/4 x 17 1/4,,,,,,,,225,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj78/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj78/full/1140,/0/default.jpg",/img/derivatives/iiif/obj78/manifest.json
obj79,Untitled,A butterfly above the top of a matchbook cover alongside white string and white disk.,Unknown,Collage,Animals,8 x 8 1/2,20 3/4 x 16 3/4,,,,,,,,226,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj79/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj79/full/1140,/0/default.jpg",/img/derivatives/iiif/obj79/manifest.json
obj8,Happy Skeleton,A skeleton sits underneath of a celestial backdrop next to roses.,2010,Collage,Anatomical,17 x 20 3/4,21 3/4 x 25 1/2,Berta Walker,,,,,,,227,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj8/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj8/full/1140,/0/default.jpg",/img/derivatives/iiif/obj8/manifest.json
obj80,Untitled,Two butterflies fly toward an orange moon.,1987,Collage,Animals,9 3/4 x 11 3/4,16 3/4 x 20 1/2,Cordier & Ekstrom,CE # 131,,,,,,228,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj80/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj80/full/1140,/0/default.jpg",/img/derivatives/iiif/obj80/manifest.json
obj81,Untitled,Eight butterflies fly toward an orange moon.,c. 1987,Collage,Animals,15 x 9 1/2,24 3/4 x 17 1/4,,,,,,,,229,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj81/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj81/full/1140,/0/default.jpg",/img/derivatives/iiif/obj81/manifest.json
obj82,Flight,Ten butterflies seem to fly out of the paper's grid toward a nearly disappeared butterfly.,1979,Collage,Animals,11 3/4 x 9 3/4,,,,,,,,,230,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj82/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj82/full/1140,/0/default.jpg",/img/derivatives/iiif/obj82/manifest.json
obj83,Pandora's Box,A small blue butterfly ascends out of a box.,1987,Collage,Animals,7 3/4 19 3/4,18 1/2 x 21 1/2,Cordier & Ekstrom,CE # 126,,Korus Gallery,,,,231,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj83/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj83/full/1140,/0/default.jpg",/img/derivatives/iiif/obj83/manifest.json
obj84,Part of a Myth,A blue butterfly contained to a square encased by a circle.,1988,Collage,Animals,21 1/2 x 21,,,,,,,,,232,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj84/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj84/full/1140,/0/default.jpg",/img/derivatives/iiif/obj84/manifest.json
obj85,Untitled,"Three butterflies, a bird, and a reindeer within garden of floral wreaths.",Unknown,Collage,Animals,13 1/2 x 11 1/4,21 1/2 x 19,,,,,,,,233,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj85/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj85/full/1140,/0/default.jpg",/img/derivatives/iiif/obj85/manifest.json
obj86,Hawthorne Feeding the Pigs,"A figure, amongst a drove of pigs, catches a large butterfly from the air, depicted on an envelope.",1985,Collage,Animals,7 x 7 1/2,20 3/4 x 16 1/2,Lori Bookstein,LBFA-3214,,Bucknell University,,,,234,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj86_obj86_0/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj86_obj86_0/full/1140,/0/default.jpg",/img/derivatives/iiif/obj86/manifest.json
obj87,Untitled,A basket holding a loaf of sliced bread next to a butterfly.,Unknown,Collage,Animals,13 x 10 3/4,22 x 19 3/4,,,,,,,,235,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj87/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj87/full/1140,/0/default.jpg",/img/derivatives/iiif/obj87/manifest.json
obj88,Untitled,A butterfly flies next to a closed chest above a jester presenting the letter 'O.',Unknown,Collage,Animals,11 1/2 x 10 1/4,18 1/4 x 17 1/4,,,,,,,,236,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj88/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj88/full/1140,/0/default.jpg",/img/derivatives/iiif/obj88/manifest.json
obj89,Untitled,A camel entering a canyon above a pear. Half of a pitted fruit appears to extends from behind the frame into right hand margin of backing board.,Unknown,Collage,Animals,7 3/4 x 5 1/4,21 1/4 x 17 1/4,,,,,,,,237,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj89/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj89/full/1140,/0/default.jpg",/img/derivatives/iiif/obj89/manifest.json
obj9,St. Eustace,"A skeleton, facing away, gazes a half deer-half bird creature.",2011,Collage,Anatomical,13 1/2 x 18,21 1/4 x 25 1/2,Cape Cod Museum of Art,,,,,,,238,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj9/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj9/full/1140,/0/default.jpg",/img/derivatives/iiif/obj9/manifest.json
obj90,Untitled,A black cat lurks behind two women in a garden.,Unknown,Collage,Animals,20 1/2 x 17,25 1/8 x 21 5/8,,,,,,,,239,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj90/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj90/full/1140,/0/default.jpg",/img/derivatives/iiif/obj90/manifest.json
obj91,Untitled,A family of deer are preyed upon by a figure underneath of a fox skin.,Unknown,Collage,Animals,10 x 14,16 1/2 x 20 1/2,,,,,,,,240,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj91/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj91/full/1140,/0/default.jpg",/img/derivatives/iiif/obj91/manifest.json
obj92,Untitled,A fish with the head of a bird swims within plants.,Unknown,Collage,Animals,11 3/4 x 9 3/4,18 1/2 x 16 5/8,,,,,,,,241,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj92/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj92/full/1140,/0/default.jpg",/img/derivatives/iiif/obj92/manifest.json
obj93,Untitled,Six fish surround a ship atop a shooting target.,c. 2010,Collage,Animals,10 3/8 x 14,17 1/8 x 21 1/4,Cape Cod Museum of Art,,,,,,,242,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj93/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj93/full/1140,/0/default.jpg",/img/derivatives/iiif/obj93/manifest.json
obj94,Odyssey,Nine fish swim below a sailing ship.,2006,Collage,Animals,22 x 31,,,,,,,,,243,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj94/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj94/full/1140,/0/default.jpg",/img/derivatives/iiif/obj94/manifest.json
obj95,In The Lagoon,An eye peers from the frame of a house surrounded by fish.,2010,Collage,Animals,15 3/4 x 17 1/2,21 1/2 x 23 3/4,Berta Walker Gallery,,,,,,,244,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj95/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj95/full/1140,/0/default.jpg",/img/derivatives/iiif/obj95/manifest.json
